Part,Quanity,Price,Total Price,Weight in bot,Provider
,,,,,
Drive Motors,3,$20.00,$60,26,Repeat Robotics
Drive axels,2,$10,$20,4,Repeat Robotics
Weapon Motors,2,$50,$100,65,Repeat Robotics
Reciever,2,$6,$12,0.9,Aliexpress
Weapon/Drive ESC,5,$8,$41,18.9,Aliexpress
Power Switch,1,$9,$9,2.15,Repeat Robotics
Batteries,2,$12,$24,28.93,Amazon
Weapon,5,$8,$39,110,sendcutsend
Fillament,1,$33,$33,,Overture
Armor Sets,3,3d printed,3d printed,28.07,
Body,3,3d printed,3d printed,66.79,
Uprights,3,3d printed,3d printed,36,
Lid,3,3d printed,3d printed,17.81,
Forks,3,3d printed,3d printed,5.44,
Wheels,4,3d printed,3d printed,34.4,
Wires/Misc parts,0,I already have them,$0,6,
Transmitter,0,I already own one,$0,,
Repeat shipping,,,$5,,
Aliexpress shipping,,,$7.25,,
,,,,,
,,,,,
,,,$350,450.39,